auc,prauc,AP,auc_01,f1,accuracy,precision,recall,trainset,model
0.48755789576802505,0.18343431783609915,0.18390666994020904,0.49479046361986473,0.219435736677116,0.6529616724738676,0.1928374655647383,0.2545454545454545,virus,XGB
0.5041361289540661,0.1896547959381195,0.19022727228841657,0.49514355516715675,0.21980413492927098,0.6252613240418119,0.18453105968331304,0.2717488789237668,virus,XGB
0.4309481649423391,0.16677473844042112,0.16713298898276188,0.48804978912577257,0.16422513492675406,0.6222996515679442,0.14599040438656613,0.18766519823788547,virus,XGB
0.4461058974165851,0.16526194762435514,0.165935115236084,0.4935380931805298,0.18526622902990517,0.610801393728223,0.15146094215861658,0.23849765258215963,virus,XGB
0.4621919284951751,0.15779683238851838,0.1583176746833793,0.4908057513217662,0.19068736141906875,0.6184668989547039,0.15212264150943397,0.25544554455445545,virus,XGB
0.466323292602065,0.18818690302828728,0.18889076143934902,0.4975476486043184,0.22054597701149425,0.6219512195121951,0.18788249694002448,0.2669565217391304,virus,XGB
0.45460435777055497,0.1772352015779724,0.1779096523288319,0.49803399795986897,0.18752307124400147,0.6165505226480836,0.16035353535353536,0.22577777777777777,virus,XGB
0.4978545920883891,0.19146106254849088,0.19197562749743208,0.501687928017736,0.23584173778122575,0.6567944250871081,0.20430107526881722,0.27889908256880735,virus,XGB
0.440581382783289,0.14549721118667944,0.1459824918482601,0.4897493035577987,0.16626506024096385,0.6383275261324042,0.1361842105263158,0.2134020618556701,virus,XGB
0.481010970464135,0.16749146239428286,0.16810052333482828,0.4998945147679325,0.18482864844050828,0.6311846689895471,0.15028177833437695,0.24,virus,XGB
0.4465046751176823,0.16397854301678483,0.16445276847923065,0.4895872438102984,0.19194139194139193,0.6156794425087108,0.15927051671732523,0.24147465437788018,virus,XGB
0.4667088062486697,0.1698104669562552,0.17022745140478807,0.48952628270374493,0.19985569985569987,0.613588850174216,0.16419679905157084,0.2552995391705069,virus,XGB
0.4800824511196942,0.18281945477775607,0.1836631281222111,0.500390241950009,0.21818181818181817,0.6479094076655052,0.18613861386138614,0.2635514018691589,virus,XGB
0.4809230995297805,0.17406026899849947,0.17460716114840819,0.48359078534895233,0.20116194625998549,0.6167247386759582,0.1674727932285369,0.25181818181818183,virus,XGB
0.46899733293451984,0.17320051707939832,0.17379562211399388,0.4971276242651795,0.18940248027057496,0.6242160278745644,0.15889029003783103,0.2344186046511628,virus,XGB
0.4909617459132022,0.19277648552525734,0.1934705475053763,0.5021530014466382,0.2308254200146092,0.6331010452961673,0.19350887936313532,0.285972850678733,virus,XGB
0.47711641217554884,0.17476447898729872,0.17523109249675362,0.49505851522680905,0.20385050962627407,0.6325783972125436,0.17099430018999368,0.2523364485981308,virus,XGB
0.4586732043366963,0.18391820806606846,0.18450970091198735,0.49574116929124495,0.1887927792403159,0.6242160278745644,0.16744496330887257,0.21637931034482757,virus,XGB
0.46809690944239407,0.17213935572477954,0.1725976010717911,0.4980011601648544,0.1943811693242217,0.6303135888501742,0.1631612492033142,0.2403755868544601,virus,XGB
0.4832816418495298,0.185392564487691,0.18592420245432378,0.5003284317769345,0.21103653989560028,0.6313588850174217,0.1788874841972187,0.25727272727272726,virus,XGB
0.4650881066712399,0.15615844841953086,0.156512779879087,0.49330596900414303,0.19352193521935218,0.6573170731707317,0.16175462645647704,0.24081632653061225,virus,XGB
0.46387027267623304,0.16903698798435246,0.16956617599632318,0.4956933878495903,0.1972049689440994,0.6397212543554007,0.16699539776462854,0.24075829383886255,virus,XGB
0.4864099923722349,0.19549695191584193,0.1960689930664455,0.5021297522983661,0.2283788843129914,0.6409407665505227,0.1992161985630307,0.2675438596491228,virus,XGB
0.49399158520503217,0.172685707153409,0.1735083522611588,0.4938244130410593,0.20957838722881703,0.663588850174216,0.17864619678995114,0.25346534653465347,virus,XGB
0.45947927201868144,0.1563303486944623,0.15687288266071367,0.49380533637072277,0.17945594803085668,0.6479094076655052,0.1505449591280654,0.2221105527638191,virus,XGB
0.435174444970981,0.1591948492033374,0.15969809050195427,0.49736441168653783,0.16716867469879518,0.6146341463414634,0.1378026070763501,0.21244019138755982,virus,XGB
0.4460348369277374,0.16161830321617804,0.16199246906840103,0.48649229532373606,0.17075038284839203,0.6226480836236934,0.14603798297314996,0.2055299539170507,virus,XGB
0.4363795705108355,0.1635597413962932,0.16399633400477173,0.4899974622106086,0.16874246685415828,0.6395470383275261,0.15064562410329985,0.1917808219178082,virus,XGB
0.4833530359003505,0.19269407413002954,0.19334949675228102,0.49681079652812055,0.2085201793721973,0.6310104529616725,0.18283093053735255,0.2426086956521739,virus,XGB
0.4666973463549373,0.1697403191369024,0.17010983031801447,0.48539015487816906,0.20516717325227965,0.6355400696864112,0.17509727626459143,0.24770642201834864,virus,XGB
